Country,City,HijriYear,HijriMonth,HijriMonthName,GregorianStartDate,GregorianYear,Authority,Method,SourceURL,ConfidenceScore,Notes,RecordId
Nigeria,Abuja,1400,11,Dhu al-Qadah,,,,,,,,80a80a76d7a40da6
Nigeria,Abuja,1400,12,Dhu al-Hijjah,,,,,,,,88ca19485c50aa41
Nigeria,Abuja,1401,1,Muharram,,,,,,,,c14c102ec0738fba
Nigeria,Abuja,1401,2,Safar,,,,,,,,71fb5bd243d72b98
Nigeria,Abuja,1401,3,Rabi al-Awwal,,,,,,,,53f6723f75df0435
Nigeria,Abuja,1401,4,Rabi al-Thani,,,,,,,,a7b84c58d35b34d6
Nigeria,Abuja,1401,5,Jumada al-Ula,,,,,,,,8d81ef3cb62ad7c5
Nigeria,Abuja,1401,6,Jumada al-Akhirah,,,,,,,,852b962c1226af5b
Nigeria,Abuja,1401,7,Rajab,,,,,,,,837a11b50bfdb4e3
Nigeria,Abuja,1401,8,Shaban,,,,,,,,95caa24db33db664
Nigeria,Abuja,1401,9,Ramadan,,,,,,,,89b13348dd660877
Nigeria,Abuja,1401,10,Shawwal,,,,,,,,cd1eeb335881e852
Nigeria,Abuja,1401,11,Dhu al-Qadah,,,,,,,,05250131db6f128e
Nigeria,Abuja,1401,12,Dhu al-Hijjah,,,,,,,,3be304212ef418dc
Nigeria,Abuja,1402,1,Muharram,,,,,,,,56d9780b5e930d35
Nigeria,Abuja,1402,2,Safar,,,,,,,,daee2659fcbffcad
Nigeria,Abuja,1402,3,Rabi al-Awwal,,,,,,,,f008f446e8e3b6ff
Nigeria,Abuja,1402,4,Rabi al-Thani,,,,,,,,f9f2aff4bd5d0b28
Nigeria,Abuja,1402,5,Jumada al-Ula,,,,,,,,a934a6cc92af3f6c
Nigeria,Abuja,1402,6,Jumada al-Akhirah,,,,,,,,922846e8e42f363e
Nigeria,Abuja,1402,7,Rajab,,,,,,,,7a1da1f3a8c9a853
Nigeria,Abuja,1402,8,Shaban,,,,,,,,17f9ec416685f546
Nigeria,Abuja,1402,9,Ramadan,,,,,,,,5a5b0d28520078d2
Nigeria,Abuja,1402,10,Shawwal,,,,,,,,3e944e362daf482d
Nigeria,Abuja,1402,11,Dhu al-Qadah,,,,,,,,21b2e4618483eb91
Nigeria,Abuja,1402,12,Dhu al-Hijjah,,,,,,,,0b6c423c690451dc
Nigeria,Abuja,1403,1,Muharram,,,,,,,,45126dc320c7a1bc
Nigeria,Abuja,1403,2,Safar,,,,,,,,a0a40483755b5bb2
